-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
-118.0,62.0,40.0
